date,dairy_id,milk_yield,protein_pct,fat_pct
2025-02-28,B,304668,3.3,4.02
2025-03-01,A,102910,3.48,4.02
2025-03-01,B,304131,3.33,4.01
2025-03-02,A,102910,3.49,4.08
2025-03-02,B,301792,3.35,4.04
2025-03-03,A,102758,3.47,4.01
2025-03-03,B,407205,3.33,4.01
2025-03-04,A,102839,3.46,3.96
2025-03-04,B,304403,3.34,4.02
2025-03-05,A,102855,3.47,3.98
2025-03-05,B,404143,3.28,3.93
2025-03-06,A,205866,3.47,4.05
2025-03-06,B,304059,3.34,4.06
2025-03-07,A,102944,3.48,4.1
2025-03-07,B,404643,3.35,4.01
2025-03-08,A,103263,3.45,4.14
2025-03-08,B,304925,3.32,3.99
2025-03-09,A,102907,3.47,4.05
2025-03-09,B,304487,3.33,4.02
2025-03-10,A,103014,3.43,4.12
2025-03-10,B,405251,3.31,3.89
2025-03-11,A,102891,3.43,4.12
2025-03-11,B,304390,3.32,3.9
2025-03-12,A,206180,3.41,4.08
2025-03-12,B,405661,3.33,4.0
2025-03-13,A,103050,3.41,4.1
2025-03-13,B,305197,3.32,4.0
2025-03-14,A,102928,3.44,4.11
2025-03-14,B,406196,3.31,3.96
2025-03-15,A,102855,3.39,4.09
2025-03-15,B,304370,3.26,3.89
2025-03-16,A,103013,3.4,4.06
2025-03-16,B,304228,3.33,3.9
2025-03-17,A,102962,3.37,4.08
2025-03-17,B,405669,3.33,3.97
2025-03-18,A,205953,3.38,4.08
2025-03-18,B,304823,3.3,3.96
2025-03-19,A,103029,3.36,4.03
2025-03-19,B,405409,3.27,3.99
2025-03-20,A,102942,3.35,4.05
2025-03-20,B,305173,3.29,3.95
2025-03-21,A,102855,3.42,4.09
2025-03-21,B,304627,3.33,4.06
2025-03-22,A,102942,3.38,4.08
2025-03-22,B,303727,3.28,3.96
2025-03-23,A,205900,3.39,4.07
2025-03-23,B,404232,3.29,4.0
2025-03-24,A,103169,3.37,4.03
2025-03-24,B,405174,3.35,4.11
2025-03-25,A,102909,3.39,4.05
2025-03-25,B,304555,3.32,4.0
2025-03-26,A,102978,3.37,4.14
2025-03-26,B,302845,3.32,3.97
2025-03-27,A,205935,3.34,4.08
2025-03-27,B,406179,3.31,3.96
2025-03-28,A,103082,3.34,4.04
2025-03-28,B,305372,3.28,3.93
2025-03-29,A,103048,3.31,4.03
2025-03-29,B,405908,3.26,3.93
2025-03-30,A,103029,3.29,3.96
2025-03-30,B,303287,3.22,3.84
2025-03-31,A,102944,3.34,3.98
2025-03-31,B,406624,3.3,3.99
2025-04-01,A,206030,3.33,4.0
2025-04-01,B,307079,3.33,4.11
2025-04-02,A,103029,3.32,4.1
2025-04-02,B,424763,3.29,4.04
2025-04-03,A,102998,3.3,4.08
2025-04-03,B,304058,3.23,3.96
2025-04-04,A,102964,3.29,3.99
2025-04-04,B,202320,3.27,3.98
2025-04-05,A,205878,3.28,4.01
2025-04-05,B,531611,3.27,3.98
2025-04-06,A,102978,3.28,3.97
2025-04-06,B,241934,3.23,4.09
2025-04-07,A,102756,3.29,4.02
2025-04-07,B,478838,3.28,4.06
2025-04-08,A,102981,3.29,4.03
2025-04-08,B,404599,3.3,4.1
2025-04-09,A,102876,3.3,4.06
2025-04-09,B,305030,3.28,4.01
2025-04-10,A,205889,3.32,4.07
2025-04-10,B,304713,3.3,3.99
2025-04-11,A,103064,3.3,4.02
2025-04-11,B,303315,3.29,4.0
2025-04-12,A,102858,3.33,4.07
2025-04-12,B,405076,3.29,4.02
2025-04-13,A,103013,3.33,4.03
2025-04-13,B,405042,3.28,4.02
2025-04-14,A,205996,3.3,4.03
2025-04-14,B,304901,3.25,3.98
2025-04-15,A,102983,3.3,4.03
2025-04-15,B,406551,3.28,3.98
2025-04-16,A,102877,3.31,3.99
2025-04-16,B,303703,3.33,3.96
2025-04-17,A,102910,3.37,3.9
2025-04-17,B,404405,3.32,3.97
2025-04-18,A,206159,3.35,3.81
2025-04-18,B,304133,3.28,3.89
2025-04-19,A,102964,3.34,3.77
2025-04-19,B,406608,3.31,3.91
2025-04-20,A,102997,3.41,3.81
2025-04-20,B,405017,3.33,3.96
2025-04-21,A,102946,3.37,3.8
2025-04-21,B,305098,3.35,3.99
2025-04-22,A,102948,3.35,3.8
2025-04-22,B,405905,3.33,3.97
2025-04-23,A,206374,3.37,3.86
2025-04-23,B,353665,3.28,3.93
2025-04-24,A,103082,3.36,3.86
2025-04-24,B,354490,3.28,3.89
2025-04-25,A,103291,3.38,3.85
2025-04-25,B,304007,3.26,3.89
2025-04-26,A,103031,3.41,4.0
2025-04-26,B,405027,3.32,3.97
2025-04-27,A,103050,3.38,3.9
2025-04-27,B,304487,3.26,3.9
2025-04-28,A,102958,3.38,3.9
2025-04-28,B,302143,3.29,3.93
2025-04-29,A,206072,3.39,3.89
2025-04-29,B,304703,3.27,3.79
2025-04-30,A,103015,3.41,3.89
2025-04-30,B,407152,3.38,3.95
2025-05-01,A,103060,3.41,3.97
2025-05-01,B,371746,3.32,4.0
2025-05-02,A,103217,3.4,3.99
2025-05-02,B,354499,3.29,3.96
2025-05-03,A,103128,3.42,4.04
2025-05-03,B,355158,3.32,4.04
2025-05-04,A,103042,3.41,4.02
2025-05-04,B,354198,3.32,3.97
2025-05-05,A,205842,3.42,3.97
2025-05-05,B,354340,3.28,3.9
2025-05-06,A,102965,3.43,3.98
2025-05-06,B,355548,3.32,3.98
2025-05-07,A,102964,3.45,3.98
2025-05-07,B,355205,3.32,3.87
2025-05-08,A,102913,3.45,4.02
2025-05-08,B,405913,3.32,3.94
2025-05-09,A,102855,3.46,4.07
2025-05-09,B,356540,3.33,3.99
2025-05-10,A,102980,3.44,4.05
2025-05-10,B,304259,3.3,4.03
2025-05-11,A,102774,3.44,4.03
2025-05-11,B,405750,3.33,4.01
2025-05-12,A,205966,3.43,4.0
2025-05-12,B,406054,3.32,3.93
2025-05-13,A,106481,3.44,3.93
2025-05-13,B,355106,3.26,3.86
2025-05-14,A,103356,3.43,3.98
2025-05-14,B,405476,3.31,3.91
2025-05-15,A,102910,3.39,3.99
2025-05-15,B,356085,3.27,3.95
2025-05-16,A,103196,3.41,4.0
2025-05-16,B,354509,3.26,3.96
2025-05-17,A,103164,3.38,4.04
2025-05-17,B,356109,3.27,4.0
2025-05-18,A,103115,3.39,4.05
2025-05-18,B,405318,3.27,3.94
2025-05-19,A,205994,3.39,4.0
2025-05-19,B,355476,3.29,3.96
2025-05-20,A,103082,3.43,4.01
2025-05-20,B,356126,3.3,4.01
2025-05-21,A,102985,3.42,4.05
2025-05-21,B,356174,3.26,4.07
2025-05-22,A,103031,3.43,4.04
2025-05-22,B,356893,3.34,4.06
2025-05-23,A,102887,3.46,4.08
2025-05-23,B,405944,3.32,4.07
2025-05-24,A,102869,3.43,4.04
2025-05-24,B,303843,3.29,4.06
2025-05-25,A,205884,3.41,4.1
2025-05-25,B,406016,3.29,4.04
2025-05-26,A,102900,3.4,4.05
2025-05-26,B,406013,3.29,4.07
2025-05-27,A,102926,3.41,4.01
2025-05-27,B,304786,3.27,3.94
2025-05-28,A,103014,3.4,4.07
2025-05-28,B,406097,3.29,3.97
2025-05-29,A,106632,3.4,4.02
2025-05-29,B,405781,3.3,3.96
2025-05-30,A,103022,3.4,4.02
2025-05-30,B,303705,3.26,3.92
2025-05-31,A,102955,3.38,4.02
2025-05-31,B,458752,3.28,4.03
2025-06-01,A,205995,3.38,4.03
2025-06-01,B,354705,3.29,4.0
2025-06-02,A,103134,3.38,3.94
2025-06-02,B,354326,3.28,4.01
2025-06-03,A,103029,3.37,3.95
2025-06-03,B,405900,3.25,3.89
2025-06-04,A,102994,3.37,3.94
2025-06-04,B,354428,3.27,3.96
2025-06-05,A,103163,3.41,4.08
2025-06-05,B,357795,3.24,3.9
2025-06-06,A,103029,3.4,4.01
2025-06-06,B,406980,3.25,3.86
2025-06-07,A,206452,3.39,3.96
2025-06-07,B,254375,3.24,3.85
2025-06-08,A,103169,3.41,3.87
2025-06-08,B,507486,3.24,3.97
2025-06-09,A,103029,3.41,3.83
2025-06-09,B,354104,3.23,3.83
2025-06-10,A,103180,3.38,3.89
2025-06-10,B,355934,3.24,3.91
2025-06-11,A,103180,3.39,3.84
2025-06-11,B,355460,3.26,3.86
2025-06-12,A,103162,3.4,3.86
2025-06-12,B,405593,3.23,3.81
2025-06-13,A,206225,3.4,3.91
2025-06-13,B,355283,3.23,3.9
2025-06-14,A,103219,3.39,3.97
2025-06-14,B,306328,3.23,3.97
2025-06-15,A,103203,3.39,3.91
2025-06-15,B,405788,3.24,3.91
2025-06-16,A,103162,3.36,3.88
2025-06-16,B,408760,3.18,3.81
2025-06-17,A,103279,3.36,3.85
2025-06-17,B,354376,3.19,3.84
2025-06-18,A,103211,3.34,3.82
2025-06-18,B,355884,3.16,3.82
2025-06-19,A,103279,3.34,3.92
2025-06-19,B,406509,3.18,3.89
2025-06-20,A,206506,3.35,3.94
2025-06-20,B,304041,3.16,3.82
2025-06-21,A,103211,3.3,3.94
2025-06-21,B,304767,3.14,3.79
2025-06-22,A,103264,3.27,3.89
2025-06-22,B,458655,3.13,3.87
2025-06-23,A,103515,3.23,3.97
2025-06-23,B,305164,3.02,3.96
2025-06-24,A,103433,3.17,4.03
2025-06-24,B,355933,3.04,4.0
2025-06-25,A,103227,3.15,4.08
2025-06-25,B,356232,3.02,4.06
2025-06-26,A,103299,3.16,3.93
2025-06-26,B,304919,3.01,3.98
2025-06-27,A,103299,3.21,3.91
2025-06-27,B,305157,2.99,3.87
2025-06-28,A,103343,3.22,3.97
2025-06-28,B,356195,3.06,4.0
2025-06-29,A,103417,3.22,3.97
2025-06-29,B,305558,3.06,3.88
2025-06-30,A,103279,3.21,3.78
2025-06-30,B,356172,3.1,3.9
2025-07-01,A,103364,3.22,3.87
2025-07-01,B,304231,3.11,3.83
2025-07-02,A,103230,3.26,3.86
2025-07-02,B,356574,3.1,3.72
2025-07-03,A,206360,3.25,3.77
2025-07-03,B,355536,3.11,3.73
2025-07-04,A,103196,3.27,3.75
2025-07-04,B,304338,3.15,3.73
2025-07-05,A,103164,3.27,3.77
2025-07-05,B,356774,3.13,3.76
2025-07-06,A,103130,3.27,3.74
2025-07-06,B,355787,3.12,3.82
2025-07-07,A,103132,3.29,3.75
2025-07-07,B,355908,3.13,3.8
2025-07-08,A,103227,3.28,3.8
2025-07-08,B,354993,3.13,3.8
2025-07-09,A,103162,3.27,3.73
2025-07-09,B,356317,3.12,3.78
2025-07-10,A,206294,3.27,3.81
2025-07-10,B,355345,3.16,3.78
2025-07-11,A,103063,3.3,3.73
2025-07-11,B,354704,3.16,3.72
2025-07-12,A,103114,3.27,3.67
2025-07-12,B,305946,3.14,3.77
2025-07-13,A,103213,3.28,3.7
2025-07-13,B,356048,3.18,3.77
2025-07-14,A,103196,3.3,3.74
2025-07-14,B,356143,3.16,3.77
2025-07-15,A,103195,3.28,3.7
2025-07-15,B,305630,3.17,3.77
2025-07-16,A,206207,3.27,3.71
2025-07-16,B,407542,3.15,3.74
2025-07-17,A,103196,3.27,3.8
2025-07-17,B,305047,3.2,3.84
2025-07-18,A,103213,3.3,3.84
2025-07-18,B,356644,3.19,3.69
2025-07-19,A,103178,3.25,3.78
2025-07-19,B,355540,3.19,3.78
2025-07-20,A,103166,3.27,3.79
2025-07-20,B,306562,3.19,3.87
2025-07-21,A,103211,3.18,3.56
2025-07-21,B,406849,3.19,3.83
2025-07-22,A,103149,3.22,3.59
2025-07-22,B,304497,3.16,3.8
2025-07-23,A,206581,3.22,3.44
2025-07-23,B,355321,3.19,3.72
2025-07-24,A,103213,3.25,3.43
2025-07-24,B,356365,3.19,3.79
2025-07-25,A,103098,3.24,3.49
2025-07-25,B,305270,3.14,3.83
2025-07-26,A,103149,3.22,3.63
2025-07-26,B,405652,3.09,3.86
2025-07-27,A,103178,3.23,3.67
2025-07-27,B,304442,3.12,3.89
2025-07-28,A,207013,3.22,3.7
2025-07-28,B,306382,3.15,4.02
2025-07-29,A,103213,3.24,3.86
2025-07-29,B,304678,3.04,4.01
2025-07-30,A,103252,3.22,3.88
2025-07-30,B,304401,3.09,3.93
2025-07-31,A,102674,3.24,3.95
2025-07-31,B,304748,3.12,3.82
2025-08-01,A,103133,3.29,3.85
2025-08-01,B,304779,3.17,3.74
2025-08-02,A,103371,3.29,3.79
2025-08-02,B,354887,3.18,3.73
2025-08-03,A,206494,3.3,3.75
2025-08-03,B,355134,3.21,3.74
2025-08-04,A,103149,3.32,3.73
2025-08-04,B,305431,3.27,3.69
2025-08-05,A,103130,3.32,3.8
2025-08-05,B,305872,3.23,3.8
2025-08-06,A,103196,3.32,3.75
2025-08-06,B,406429,3.26,3.77
2025-08-07,A,206311,3.31,3.77
2025-08-07,B,305676,3.23,3.84
2025-08-08,A,103261,3.32,3.72
2025-08-08,B,406162,3.22,3.81
2025-08-09,A,103227,3.31,3.76
2025-08-09,B,302627,3.23,3.93
2025-08-10,A,103299,3.31,3.74
2025-08-10,B,303986,3.17,3.95
2025-08-11,A,103246,3.3,3.73
2025-08-11,B,405710,3.18,4.0
2025-08-12,A,103278,3.3,3.83
2025-08-12,B,303567,3.15,3.93
2025-08-13,A,212722,3.27,3.97
2025-08-13,B,303543,3.13,3.87
2025-08-14,A,103351,3.27,3.93
2025-08-14,B,254643,3.2,3.89
2025-08-15,A,207101,3.25,3.87
2025-08-15,B,304127,3.2,3.66
2025-08-16,A,213867,3.27,3.79
2025-08-16,B,253892,3.25,3.76
2025-08-17,A,103334,3.24,3.78
2025-08-17,B,303594,3.26,3.79
2025-08-18,A,206663,3.27,3.82
2025-08-18,B,302422,3.24,3.78
2025-08-19,A,206834,3.26,3.97
2025-08-19,B,304617,3.26,3.72
2025-08-20,A,103196,3.23,3.95
2025-08-20,B,253603,3.31,3.69
2025-08-21,A,205949,3.27,3.91
2025-08-21,B,253243,3.29,3.72
2025-08-22,A,210655,3.25,3.9
2025-08-22,B,301403,3.31,3.69
2025-08-23,A,100595,3.24,3.81
2025-08-23,B,304857,3.3,3.76
2025-08-24,A,206326,3.27,3.87
2025-08-24,B,203720,3.33,3.75
2025-08-25,A,206199,3.32,3.84
2025-08-25,B,356030,3.34,3.77
2025-08-26,A,209843,3.29,3.94
2025-08-26,B,254056,3.35,3.76
2025-08-27,A,206367,3.26,3.97
2025-08-27,B,305740,3.3,3.82
2025-08-28,A,228963,3.27,4.01
2025-08-28,B,253278,3.34,3.85
2025-08-29,A,106607,3.29,3.86
2025-08-29,B,254145,3.33,3.89
2025-08-30,A,213112,3.29,4.05
2025-08-30,B,305945,3.32,3.89
2025-08-31,A,214943,3.3,3.95
2025-08-31,B,303814,3.37,3.91
2025-09-01,A,213765,3.3,3.92
2025-09-01,B,304173,3.36,3.77
2025-09-02,A,206508,3.31,3.98
2025-09-02,B,301472,3.34,3.81
2025-09-03,A,207075,3.3,3.95
2025-09-03,B,305117,3.37,3.83
2025-09-04,A,209161,3.31,4.0
2025-09-04,B,303810,3.41,3.88
2025-09-05,A,315216,3.33,4.02
2025-09-05,B,201467,3.35,3.75
2025-09-06,A,210330,3.35,4.03
2025-09-06,B,354105,3.44,3.83
2025-09-07,A,209624,3.33,4.13
2025-09-07,B,304789,3.42,3.88
2025-09-08,A,104133,3.33,4.04
2025-09-08,B,252904,3.41,3.89
2025-09-09,A,206765,3.34,4.16
2025-09-09,B,304256,3.44,3.94
2025-09-10,A,213016,3.32,4.16
2025-09-10,B,303373,3.42,4.02
2025-09-11,A,209934,3.31,4.13
2025-09-11,B,305653,3.43,4.09
2025-09-12,A,207153,3.32,4.11
2025-09-12,B,202127,3.37,3.91
2025-09-13,A,207765,3.35,4.12
2025-09-13,B,306326,3.46,4.02
2025-09-14,A,213512,3.35,4.07
2025-09-14,B,303603,3.43,4.02
2025-09-15,A,208324,3.32,4.04
2025-09-15,B,303713,3.43,3.97
2025-09-16,A,207023,3.37,4.0
2025-09-16,B,303768,3.4,3.96
2025-09-17,A,207085,3.34,4.05
2025-09-17,B,303456,3.41,4.01
2025-09-18,A,207124,3.39,4.05
2025-09-18,B,203997,3.35,3.97
2025-09-19,A,214346,3.33,4.0
2025-09-19,B,304850,3.4,3.96
2025-09-20,A,210538,3.32,4.01
2025-09-20,B,305731,3.4,4.02
2025-09-21,A,207086,3.33,4.01
2025-09-21,B,306155,3.4,4.0
2025-09-22,A,207076,3.33,4.01
2025-09-22,B,306995,3.37,4.02
2025-09-23,A,103463,3.33,4.01
2025-09-23,B,304060,3.37,4.01
2025-09-24,A,210078,3.35,4.07
2025-09-24,B,202736,3.39,3.99
2025-09-25,A,127362,3.34,4.16
2025-09-25,B,317360,3.42,4.0
2025-09-26,A,212771,3.39,4.12
2025-09-26,B,306237,3.38,3.96
2025-09-27,A,316689,3.35,4.09
2025-09-27,B,152585,3.45,3.92
2025-09-28,A,206823,3.35,4.1
2025-09-28,B,304420,3.39,3.99
2025-09-29,A,206483,3.35,4.09
2025-09-29,B,304624,3.36,4.01
2025-09-30,A,310588,3.36,4.17
2025-09-30,B,202302,3.38,4.03
2025-10-01,A,207506,3.36,4.24
2025-10-01,B,304442,3.42,4.05
2025-10-02,A,207366,3.36,4.1
2025-10-02,B,305578,3.41,4.07
2025-10-03,A,206888,3.37,4.07
2025-10-03,B,203766,3.39,4.06
2025-10-04,A,207078,3.36,4.14
2025-10-04,B,304852,3.4,4.13
2025-10-05,A,225929,3.36,4.05
2025-10-05,B,304379,3.37,4.2
2025-10-06,A,210572,3.38,4.01
2025-10-06,B,202909,3.4,4.13
2025-10-07,A,207346,3.41,4.06
2025-10-07,B,306309,3.38,4.07
2025-10-08,A,103700,3.41,4.05
2025-10-08,B,304030,3.41,4.05
2025-10-09,A,211529,3.38,4.16
2025-10-09,B,304279,3.48,4.08
2025-10-10,A,103123,3.39,4.27
2025-10-10,B,305350,3.45,4.07
2025-10-11,A,209758,3.37,4.17
2025-10-11,B,356617,3.46,4.09
2025-10-12,A,208697,3.38,4.15
2025-10-12,B,355431,3.46,4.1
2025-10-13,A,106386,3.38,4.17
2025-10-13,B,303953,3.48,4.1
2025-10-14,A,209749,3.36,4.31
2025-10-14,B,303384,3.43,3.99
2025-10-15,A,103412,3.35,4.25
2025-10-15,B,304451,3.45,4.06
2025-10-16,A,208284,3.35,4.38
2025-10-16,B,305905,3.49,4.07
2025-10-17,A,103925,3.41,4.38
2025-10-17,B,305445,3.49,4.13
2025-10-18,A,207459,3.38,4.32
2025-10-18,B,252604,3.47,4.18
2025-10-19,A,208062,3.35,4.25
2025-10-19,B,254466,3.47,4.17
2025-10-20,A,210636,3.4,4.19
2025-10-20,B,305276,3.51,4.16
2025-10-21,A,103512,3.37,4.22
2025-10-21,B,303915,3.51,4.14
2025-10-22,A,207977,3.43,4.19
2025-10-22,B,304861,3.6,4.26
2025-10-23,A,207636,3.4,4.26
2025-10-23,B,303647,3.56,4.27
2025-10-24,A,103731,3.43,4.3
2025-10-24,B,201805,3.56,4.24
2025-10-25,A,209283,3.45,4.29
2025-10-25,B,354113,3.59,4.34
2025-10-26,A,208231,3.43,4.39
2025-10-26,B,252676,3.61,4.39
2025-10-27,A,211090,3.41,4.29
2025-10-27,B,302923,3.58,4.37
2025-10-28,A,208092,3.45,4.36
2025-10-28,B,257021,3.63,4.29
2025-10-29,A,207869,3.42,4.5
2025-10-29,B,253225,3.62,4.34
2025-10-30,A,209916,3.43,4.36
2025-10-30,B,302423,3.66,4.33
2025-10-31,A,205946,3.46,4.28
2025-10-31,B,303294,3.64,4.25
2025-11-01,A,207962,3.47,4.15
2025-11-01,B,252428,3.63,4.28
2025-11-02,A,209655,3.53,4.23
2025-11-02,B,252424,3.69,4.33
2025-11-03,A,209703,3.49,4.31
2025-11-03,B,302452,3.67,4.41
2025-11-04,A,313582,3.49,4.2
2025-11-04,B,202089,3.65,4.32
2025-11-05,A,207459,3.51,4.18
2025-11-05,B,303603,3.69,4.38
2025-11-06,A,206784,3.49,4.22
2025-11-06,B,302726,3.66,4.34
2025-11-07,A,208483,3.49,4.18
2025-11-07,B,202161,3.7,4.41
2025-11-08,A,209625,3.49,4.09
2025-11-08,B,303029,3.69,4.39
2025-11-09,A,210868,3.52,4.22
2025-11-09,B,302761,3.7,4.45
2025-11-10,A,207583,3.51,4.23
2025-11-10,B,201716,3.74,4.5
2025-11-11,A,206848,3.5,4.21
2025-11-11,B,302672,3.73,4.5
2025-11-12,A,207699,3.49,4.25
2025-11-12,B,202338,3.71,4.5
2025-11-13,A,206425,3.48,4.12
2025-11-13,B,302726,3.73,4.49
2025-11-14,A,209299,3.48,4.13
2025-11-14,B,303651,3.69,4.46
2025-11-15,A,312645,3.49,4.07
2025-11-15,B,201606,3.67,4.41
2025-11-16,A,208434,3.52,4.14
2025-11-16,B,303473,3.72,4.47
2025-11-17,A,206686,3.49,4.07
2025-11-17,B,202251,3.72,4.61
2025-11-18,A,207798,3.5,4.04
2025-11-18,B,253242,3.71,4.65
2025-11-19,A,207631,3.52,4.08
2025-11-19,B,252957,3.73,4.54
2025-11-20,A,315182,3.54,4.16
2025-11-20,B,303402,3.7,4.52
2025-11-21,A,208254,3.52,4.09
2025-11-21,B,202019,3.68,4.48
2025-11-22,A,207040,3.51,4.26
2025-11-22,B,253027,3.71,4.65
2025-11-23,A,207704,3.55,4.28
2025-11-23,B,253082,3.7,4.63
2025-11-24,A,207648,3.51,4.2
2025-11-24,B,201841,3.69,4.64
2025-11-25,A,308551,3.52,4.16
2025-11-25,B,303313,3.69,4.69
2025-11-26,A,205176,3.46,4.15
2025-11-26,B,203152,3.65,4.6
2025-11-27,A,205504,3.5,4.34
2025-11-27,B,303576,3.75,4.8
2025-11-28,A,203927,3.53,4.2
2025-11-28,B,202519,3.7,4.67
2025-11-29,A,308842,3.52,4.17
2025-11-29,B,303312,3.73,4.7
2025-11-30,A,208470,3.49,4.18
2025-11-30,B,202356,3.7,4.66
2025-12-01,A,208449,3.59,4.1
2025-12-01,B,302297,3.71,4.72
2025-12-02,A,311641,3.54,4.3
2025-12-02,B,202481,3.68,4.68
2025-12-03,A,208017,3.54,4.27
2025-12-03,B,202516,3.74,4.73
2025-12-04,A,207982,3.52,4.27
2025-12-04,B,272894,3.74,4.79
2025-12-05,A,308230,3.55,4.27
2025-12-05,B,303223,3.74,4.75
2025-12-06,A,206085,3.49,4.16
2025-12-06,B,202281,3.67,4.66
2025-12-07,A,208100,3.54,4.3
2025-12-07,B,202232,3.7,4.66
2025-12-08,A,311344,3.54,4.32
2025-12-08,B,303509,3.76,4.75
2025-12-09,A,207104,3.52,4.18
2025-12-09,B,202268,3.75,4.69
2025-12-10,A,206719,3.5,4.23
2025-12-10,B,303847,3.75,4.66
2025-12-11,A,258663,3.55,4.24
2025-12-11,B,202012,3.73,4.59
2025-12-12,A,262052,3.58,4.26
2025-12-12,B,303044,3.77,4.7
2025-12-13,A,207574,3.59,4.24
2025-12-13,B,202322,3.74,4.69
2025-12-14,A,312632,3.58,4.28
2025-12-14,B,303090,3.78,4.77
2025-12-15,A,207504,3.6,4.34
